Molecule ChEMBL ID,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Assay ChEMBL ID,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,IC50_nM,pIC50,Smiles,Molecular_Weight,LogP
CHEMBL4443947,IC50,'=',0.022,nM,10.66,CHEMBL4361896,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL4359855,0.022,10.66,CN[C@@H](C)C(=O)N[C@H](C(=O)N1C[C@@H](NC(=O)CCOCCOCCOCC#Cc2cnc(OC[C@@H]3CCC(=O)N3)c3cc(OC)c(C(N)=O)cc23)C[C@H]1C(=O)N[C@@H]1CCCc2ccccc21)C1CCCCC1,995.1879999999995,2.7436000000000096
CHEMBL4556091,IC50,'=',0.026,nM,10.59,CHEMBL4345131,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL4342485,0.026,10.59,CC(C)(O)[C@H](F)CN1Cc2cc(NC(=O)c3cnn4cccnc34)c(N3CCC(N4CCC4)CC3)cc2C1=O,535.6240000000005,2.7209000000000003
CHEMBL4566431,IC50,'=',0.078,nM,10.11,CHEMBL4345131,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL4342485,0.078,10.11,CC(C)(O)[C@H](F)CN1Cc2cc(NC(=O)c3cnn4cccnc34)c(N3CCN(C4COC4)CC3)cc2C1=O,537.5960000000005,1.5671999999999997
CHEMBL4545898,IC50,'=',0.081,nM,10.09,CHEMBL4345131,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL4342485,0.081,10.09,CC(C)(O)[C@H](F)CN1Cc2cc(NC(=O)c3cnn4cccnc34)c(N3CCN(CC(F)F)CC3)cc2C1=O,545.5660000000003,2.4335000000000004
CHEMBL4448950,IC50,'=',0.099,nM,10.0,CHEMBL4361896,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL4359855,0.099,10.0,COc1cc2c(OC[C@@H]3CCC(=O)N3)ncc(C#CCCCCCCCCCCC(=O)N[C@H](C(=O)N3C[C@H](O)C[C@H]3C(=O)NCc3ccc(-c4scnc4C)cc3)C(C)(C)C)c2cc1C(N)=O,936.1890000000001,6.493220000000005
CHEMBL4445098,IC50,'=',0.1,nM,10.0,CHEMBL4345131,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL4342485,0.1,10.0,CC(C)(O)[C@H](F)CN1Cc2cc(NC(=O)c3cnn4cccnc34)c(N3CCN(C4CC(F)(F)C4)CC3)cc2C1=O,571.6040000000003,2.9661000000000017
CHEMBL5190644,IC50,'=',0.1,nM,10.0,CHEMBL5142857,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL5137104,0.1,10.0,COc1cc2nn([C@H]3CC[C@@]4(CCC(=O)N4C)CC3)cc2cc1C(=O)Nc1cnc2cccnn12,473.53700000000015,3.4460000000000015
CHEMBL4066705,IC50,'=',0.1,nM,10.0,CHEMBL4015944,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL4014327,0.1,10.0,CC[C@H]1[C@@H](COc2nccc3cc(C(N)=O)c(OC)cc23)NC(=O)[C@@H]1F,361.37300000000005,1.5837999999999999
CHEMBL4568894,IC50,'=',0.11,nM,9.96,CHEMBL4345131,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL4342485,0.11,9.96,CC(C)(O)[C@H](F)CN1Cc2cc(NC(=O)c3cnn4cccnc34)c(N3CCC(N4CC(F)(F)C4)CC3)cc2C1=O,571.6040000000003,2.9661000000000017
CHEMBL4472406,IC50,'=',0.16,nM,9.8,CHEMBL4345131,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL4342485,0.16,9.8,CC(C)(O)CCN1Cc2cc(NC(=O)c3cnn4cccnc34)c(N3CCOCC3)cc2C1=O,464.52600000000035,1.935
CHEMBL4475494,IC50,'=',0.19,nM,9.72,CHEMBL4345131,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL4342485,0.19,9.72,CC(C)(O)[C@H](F)CN1Cc2cc(NC(=O)c3cnn4cccnc34)c(N3CCOCC3)cc2C1=O,482.51600000000036,1.883
CHEMBL5176061,IC50,'=',0.2,nM,9.7,CHEMBL5142857,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL5137104,0.2,9.7,COc1cc2nn([C@H]3CC[C@@]4(CC3)CC(=O)N(C)C4)cc2cc1C(=O)Nc1cnc2cccnn12,473.53700000000015,3.3035000000000014
CHEMBL3590479,IC50,'=',0.2,nM,9.7,CHEMBL3637446,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL3632465,0.2,9.7,Cn1cc(NC(=O)c2cnn3ccc(N[C@@H]4CCCC[C@@H]4N)nc23)c(C(F)F)n1,404.4250000000001,2.3344999999999994
CHEMBL3634383,IC50,'=',0.2,nM,9.7,CHEMBL3637446,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL3632465,0.2,9.7,Cn1cc(NC(=O)c2csc3ncc(N[C@@H]4CCCC[C@@H]4N)nc23)c(C(F)F)n1,421.4770000000002,3.296500000000001
CHEMBL3634510,IC50,'=',0.2,nM,9.7,CHEMBL3637446,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL3632465,0.2,9.7,Cn1cc(NC(=O)c2cnn3ccc(N[C@@H]4CCCCNC4)nc23)c(C(F)F)n1,404.4250000000001,2.2066999999999997
CHEMBL4081711,IC50,'=',0.2,nM,9.7,CHEMBL4015944,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL4014327,0.2,9.7,CC[C@@H]1[C@H](F)C(=O)N[C@@H]1COc1nccc2cc(C(N)=O)c(OC)cc12,361.37300000000016,1.5837999999999994
