Smiles,pIC50,MaxAbsEStateIndex,MaxEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,SPS,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,AvgIpc,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_HOCCN,fr_NH0,fr_NH1,fr_NH2,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_benzene,fr_bicyclic,fr_ester,fr_ether,fr_furan,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_ketone,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_oxazole,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_pyridine,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_tetrazole,fr_thiazole,fr_thiophene,fr_unbrch_alkane,fr_urea
CN[C@@H](C)C(=O)N[C@H](C(=O)N1C[C@@H](NC(=O)CCOCCOCCOCC#Cc2cnc(OC[C@@H]3CCC(=O)N3)c3cc(OC)c(C(N)=O)cc23)C[C@H]1C(=O)N[C@@H]1CCCc2ccccc21)C1CCCCC1,10.66,14.635816852425968,14.635816852425968,0.02197788996920913,-0.8288822997507206,0.05918691882036578,20.59722222222222,995.1879999999995,924.6279999999995,994.51640506,388,0.25198557605846117,-0.4958975358321756,0.4958975358321756,0.25198557605846117,0.9166666666666666,1.6805555555555556,2.4166666666666665,16.54187228599644,9.827159514780728,2.449470117784945,-2.353739687757833,2.344497555210417,-2.5800666757301256,6.030254343526685,-0.14306395354732482,4.021942213401974,0.858127174029979,2470.6274397974457,50.98597716963361,41.687548047677716,41.687548047677716,34.93029434406706,25.340167312212884,25.340167312212884,18.936042412316343,18.936042412316343,14.006747047860872,14.006747047860872,9.999998006211657,9.999998006211657,-6.33,8507801940633278.0,53.46849121271901,26.39025849243509,14.207209380821244,420.61940499610927,60.901834997044574,31.04695742060566,0.0,35.4158869831929,5.907179729351506,0.0,28.76722310443093,4.9839785209472085,0.0,0.0,55.36880178033576,88.0947037093285,42.39753248145522,69.39663283467999,52.45153787343118,46.21552680503863,0.0,36.46783127182934,11.651573523323577,120.22464164969054,66.95039968145771,64.84885194917072,23.470368807430564,41.79133640479394,0.0,11.629500169719275,0.0,142.48657045510424,44.604096404685265,17.75877468387268,110.64295903188452,42.595045982382736,0.0,10.772448428929591,250.86999999999998,30.074543045943347,28.76722310443093,0.0,124.48502307955076,35.057531502913974,56.930024475105085,12.673249032974528,37.20089662175459,18.19910120538483,49.47515724715177,29.41798224616243,28.403125414969722,0.0,85.31036950519093,16.32117718926915,8.641627362644616,4.752024459807588,8.438780119197705,10.24590526665867,3.4191243012575425,3.1345330476707467,0.5660377358490566,72,7,19,2,2,4,2,1,3,13,6,19,23,1,2,3,7,2.7436000000000096,266.76439999999945,0,0,0,0,0,1,0,0,0,0,6,6,0,2,5,1,1,1,0,0,0,0,0,6,0,0,1,2,2,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
CC(C)(O)[C@H](F)CN1Cc2cc(NC(=O)c3cnn4cccnc34)c(N3CCC(N4CCC4)CC3)cc2C1=O,10.59,14.67324773201355,14.67324773201355,0.20502502375591125,-1.5851283431326635,0.4792793292205539,19.333333333333332,535.6240000000005,501.35200000000043,535.270716168,206,0.26070727420501894,-0.3873664620257953,0.3873664620257953,0.26070727420501894,1.2307692307692308,2.0,2.6923076923076925,19.144429854996215,9.978851402868608,2.361952926431973,-2.434407549777384,2.3696749481911454,-2.50092588424232,6.10109812503226,-0.015929121821358097,3.4343636387544505,1.2957653449353355,1405.892792859292,27.310825830012615,22.30771940663259,22.30771940663259,18.68569175144095,13.601678060759827,13.601678060759827,11.341360266388149,11.341360266388149,8.23193119749493,8.23193119749493,5.691636598713882,5.691636598713882,-3.57,643633443.8786075,25.694354699471408,9.872408244310353,4.84732226639941,225.94816417025712,25.12304519139847,11.735126887207288,5.647177220767728,0.0,11.814359458703011,0.0,9.589074368143644,13.88979146223765,5.098681808301038,0.0,0.0,69.96200477706624,43.63324868180884,29.71742333787646,19.086016810659167,28.836309228837862,0.0,24.397877684564826,0.0,57.46926270971379,42.940480364419685,53.479986395315045,0.0,10.216698334856808,15.765187597041944,0.0,0.0,91.85711360331338,6.544756405912575,0.0,59.389368111393914,36.78963192022406,0.0,5.647177220767728,106.31,11.772726206493981,19.086016810659167,0.0,24.90387227052816,28.503307307993243,50.27150663588288,31.365049324770812,22.975452105303386,12.13273413692322,25.19926839495553,0.0,16.220521833483524,0.0,37.181862733515146,17.35584741239974,1.8581601532950893,-0.6058173665726874,5.973562229520845,6.530310795685284,6.735552208673063,0.0,0.5,39,2,10,0,3,3,1,2,3,8,2,11,7,0,2,2,6,2.7209000000000003,144.74149999999983,0,1,0,0,0,3,0,0,0,0,2,2,0,6,1,0,0,1,0,0,0,1,0,2,0,2,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CC(C)(O)[C@H](F)CN1Cc2cc(NC(=O)c3cnn4cccnc34)c(N3CCN(C4COC4)CC3)cc2C1=O,10.11,14.663673986670574,14.663673986670574,0.19597768293114615,-1.5962124370089652,0.4668843537183226,19.333333333333332,537.5960000000005,505.34000000000043,537.249980724,206,0.26070727424012136,-0.3873664620257953,0.3873664620257953,0.26070727424012136,1.2564102564102564,2.0256410256410255,2.717948717948718,19.14443039436682,10.03170013143039,2.3624176926261446,-2.4316031036384254,2.3593595983421793,-2.5631245560650173,6.101113983264,-0.06601646740250161,3.4343636387544505,1.2957653449353355,1408.871655620655,27.310825830012615,22.008860915909906,22.008860915909906,18.68569175144095,13.179028329949453,13.179028329949453,10.947914085170513,10.947914085170513,7.811533080810927,7.811533080810927,5.275939781923406,5.275939781923406,-3.61,643633443.8786075,25.65648802548512,9.849973059557092,4.834227937115878,224.6967672853674,24.959998414348043,11.735126887207288,5.647177220767728,0.0,11.814359458703011,0.0,14.48898409899412,13.88979146223765,5.098681808301038,0.0,0.0,37.61002709646307,50.68092066448602,48.97302809605025,23.822879764459216,28.836309228837862,0.0,24.397877684564826,0.0,38.20679784093576,56.154244293445515,53.479986395315045,0.0,10.216698334856808,15.765187597041944,0.0,0.0,105.07087753233921,11.281619359712625,0.0,40.126903242615874,36.78963192022406,0.0,5.647177220767728,115.53999999999999,11.772726206493981,19.086016810659167,0.0,24.90387227052816,34.06675879969024,45.080175827359696,29.459625595460423,24.52642128014937,6.06636706846161,25.19926839495553,4.736862953800049,21.54960353498288,0.0,36.94645306185481,17.31321863038191,1.709235891098683,-0.6432476457958956,5.788571917835145,3.2086294322155005,7.37753517742697,0.0,0.48148148148148145,39,2,11,0,3,3,1,2,3,9,2,12,7,0,2,2,6,1.5671999999999997,141.70949999999988,0,1,0,0,0,3,0,0,0,0,2,2,0,6,1,0,0,0,0,0,0,1,0,2,0,2,0,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CC(C)(O)[C@H](F)CN1Cc2cc(NC(=O)c3cnn4cccnc34)c(N3CCN(CC(F)F)CC3)cc2C1=O,10.09,14.61037486820662,14.61037486820662,0.1192995378439099,-2.4326996803290646,0.44801322265384014,17.256410256410255,545.5660000000003,515.3260000000004,545.2362224800002,208,0.26070727424012136,-0.3873664620257953,0.3873664620257953,0.26070727424012136,1.1538461538461537,1.8974358974358974,2.58974358974359,19.279766532644533,10.031718747538312,2.3571915164147357,-2.3654539741419534,2.3573383164643573,-2.4762529177201644,6.1010951144572205,-0.015930659822119147,3.44082266060248,1.4461758098789292,1382.8636609341129,27.896612267639522,21.649434790277954,21.649434790277954,18.507058956486865,12.687894427037625,12.687894427037625,10.412357819813645,10.412357819813645,7.128900459910893,7.128900459910893,4.880418016862844,4.880418016862844,-3.7099999999999995,541605347.2072273,26.879585724362588,10.454529867678586,5.546010140473315,222.5551819008456,20.223135460547994,11.735126887207288,5.647177220767728,0.0,18.2398042035622,0.0,14.48898409899412,22.67062155758729,5.098681808301038,0.0,0.0,37.61002709646307,50.68092066448602,36.262179743789034,27.86684690600881,28.836309228837862,0.0,24.397877684564826,0.0,38.59040175664699,49.48523677033226,53.479986395315045,0.0,10.216698334856808,24.546017692391587,0.0,0.0,98.78547392493718,6.544756405912575,0.0,40.126903242615874,36.78963192022406,0.0,5.647177220767728,106.31,24.105350680704678,27.86684690600881,0.0,31.104900438786228,54.32787837717914,0.0,29.459625595460423,35.49269807946146,4.899909730850478,15.399448933254575,0.0,41.86436200144221,0.0,35.67855672996123,17.097309831962715,1.0044239523421479,-0.8264262330148866,5.0563549053120935,0.5552424586879043,3.8201763533065902,0.0,0.46153846153846156,39,2,10,0,2,2,1,2,3,8,2,13,8,0,1,1,5,2.4335000000000004,137.97349999999992,0,1,0,0,0,3,0,0,0,0,2,2,0,6,1,0,0,0,0,0,0,3,0,2,0,2,0,1,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
COc1cc2c(OC[C@@H]3CCC(=O)N3)ncc(C#CCCCCCCCCCCC(=O)N[C@H](C(=O)N3C[C@H](O)C[C@H]3C(=O)NCc3ccc(-c4scnc4C)cc3)C(C)(C)C)c2cc1C(N)=O,10.0,14.011530939767953,14.011530939767953,0.0006437533131069539,-0.8594256640521214,0.045218862061238506,17.37313432835821,936.1890000000001,870.6689999999996,935.4615330400001,358,0.2519855760583752,-0.49589753583217583,0.49589753583217583,0.2519855760583752,1.0149253731343284,1.7313432835820894,2.373134328358209,32.13348410961618,9.850683013439264,2.4409959333515494,-2.3500345901393085,2.3353673937783865,-2.57295191317284,7.129652706541387,-0.14363096358204294,4.047833319540876,0.8940840207555567,2454.627995378739,48.08863594413509,39.37410270416061,40.19059928508834,32.12045115941706,23.39126465643959,24.27091746769448,18.627770005108008,19.482539066645277,12.332890850332165,13.31052511995055,8.530591612738322,9.34224529126777,-6.050000000000001,403946314747395.8,50.36426322351174,23.602784296109405,13.76208774889299,396.9158137850223,41.16419632247246,24.440075456092746,0.0,29.50870725384139,5.907179729351506,0.0,23.97268592035911,9.967957041894417,0.0,11.336785877934737,95.40247824818566,54.86082965818264,55.74209130407185,46.464122203734924,38.55293922279991,51.645132953621854,0.0,30.818232584763887,11.148657946558965,141.93987517790544,20.26143591170303,70.48986772593956,33.91096749282886,31.157759196781274,0.0,11.629500169719275,11.336785877934737,94.00121760123835,25.722905142199863,24.179596306798693,131.4207123511213,48.10558525600011,0.0,21.213047114327885,215.17,29.50981824479251,29.079213315199816,0.0,61.35122763751505,60.069508204975925,66.64372953242582,12.009707272128011,29.666363586471032,57.470956346226316,37.759191491624705,15.207393384762284,11.460732699031778,1.5795129879707335,75.90122974759251,20.70651008499777,10.67700058602773,5.610288923152596,9.470039119478475,10.842471542122974,8.202874958950046,1.4660060173420377,0.5098039215686274,67,6,15,0,2,2,2,2,4,11,5,16,21,0,2,2,6,6.493220000000005,258.1647999999992,0,1,1,0,0,2,0,0,0,0,5,5,1,3,3,1,0,1,0,0,0,0,0,5,0,0,1,2,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,8,0
CC(C)(O)[C@H](F)CN1Cc2cc(NC(=O)c3cnn4cccnc34)c(N3CCN(C4CC(F)(F)C4)CC3)cc2C1=O,10.0,14.673673986670574,14.673673986670574,0.13354507199509413,-2.594941201900111,0.44933981061917055,20.29268292682927,571.6040000000003,539.3480000000004,571.2518725440001,218,0.26070727424012136,-0.3873664620257953,0.3873664620257953,0.26070727424012136,1.2195121951219512,1.951219512195122,2.6341463414634148,19.2854416779886,9.862258074992052,2.478713563295614,-2.4630920836563095,2.4135759505871532,-2.567950708918021,6.101138255821737,-0.12442591229994053,3.4712208416885146,1.2745525994633886,1488.80743681634,29.10371904882607,22.8565415714645,22.8565415714645,19.39279853262749,13.686749314955602,13.686749314955602,11.674655952322535,11.674655952322535,8.25958851646877,8.25958851646877,5.729727789731417,5.729727789731417,-3.7099999999999995,1361969806.2064927,27.45939405598419,9.98134870724221,5.234107431192197,234.2792349761096,20.223135460547994,11.735126887207288,5.647177220767728,0.0,17.736888626797587,0.0,14.48898409899412,22.67062155758729,5.098681808301038,0.0,0.0,37.61002709646307,69.564404739486,29.71742333787646,27.86684690600881,28.836309228837862,0.0,24.397877684564826,0.0,56.970970254882346,42.940480364419685,53.479986395315045,0.0,10.216698334856808,24.546017692391587,0.0,0.0,97.77964277140794,6.544756405912575,0.0,52.9685464884679,36.78963192022406,0.0,5.647177220767728,106.31,23.602435103940063,27.86684690600881,0.0,43.44362810787363,54.32787837717914,0.0,29.459625595460423,30.59278834861098,4.899909730850478,20.299358664105053,0.0,43.07236629390849,0.0,36.38473202038102,17.206792918915284,1.1842012279458272,-3.3769246909773045,5.003609379711101,2.772098740474325,4.753124109641258,0.0,0.5,41,2,10,1,2,3,1,2,3,8,2,13,7,1,1,2,6,2.9661000000000017,145.07149999999982,0,1,0,0,0,3,0,0,0,0,2,2,0,6,1,0,0,0,0,0,0,3,0,2,0,2,0,1,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
COc1cc2nn([C@H]3CC[C@@]4(CCC(=O)N4C)CC3)cc2cc1C(=O)Nc1cnc2cccnn12,10.0,13.16907215080833,13.16907215080833,0.015212031723589092,-0.3078712954611358,0.4866300292398491,22.4,473.53700000000015,446.32100000000025,473.21753772400007,180,0.26014806494879206,-0.49583975207746966,0.49583975207746966,0.26014806494879206,1.2285714285714286,2.057142857142857,2.8,16.466237788278203,9.776308201260468,2.4502437546933433,-2.4167336613875303,2.4421225458019697,-2.455374906019953,6.077656016494735,-0.1300505154670688,3.5630750586728426,1.2489437770771339,1448.073884519127,24.156125291633362,19.76946928502763,19.76946928502763,16.970295456812927,11.910373419279313,11.910373419279313,9.519912853349336,9.519912853349336,7.757165340021974,7.757165340021974,5.632591167978014,5.632591167978014,-3.9499999999999997,182300915.7605331,21.574464211172266,8.07208108759781,3.5119881086464653,201.4172335888738,14.953561288656857,5.749511833283905,11.465039998602755,5.907179729351506,5.907179729351506,0.0,14.270877303288827,4.9839785209472085,14.712761510217698,0.0,0.0,50.30320932001488,42.8536972841391,30.428634151351826,14.325937321943691,34.18232438938683,0.0,29.278452697160567,0.0,50.10569581908737,19.474258127961054,48.419450480382665,5.749511833283905,10.05365155780638,5.817862777835028,5.749511833283905,0.0,60.789206932201644,4.794537184071822,0.0,54.92475924247284,42.85599898868567,0.0,16.550102152848783,106.65,0.0,9.589074368143644,0.0,23.395125540234314,29.198824946509664,43.00703304671111,0.0,36.15161671504253,34.95896235720915,15.399448933254577,9.835544762101087,9.128792869674957,0.0,31.490607328607673,12.816850684259988,1.8590622692567933,0.883378142382719,7.5025234886123755,10.745082859841332,0.0,3.490369024030831,0.4,35,1,10,1,1,2,1,3,4,8,1,10,4,1,1,2,6,3.4460000000000015,129.4652,0,0,0,0,0,5,0,0,0,0,2,2,0,6,1,0,0,1,0,0,0,0,0,2,0,1,0,1,2,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC[C@H]1[C@@H](COc2nccc3cc(C(N)=O)c(OC)cc23)NC(=O)[C@@H]1F,10.0,13.886049221089877,13.886049221089877,0.09391502897455295,-1.5210226617685134,0.8130535163119677,22.26923076923077,361.37300000000005,341.2130000000001,361.14378434,138,0.2547742827129446,-0.4958975481907506,0.4958975481907506,0.2547742827129446,1.4230769230769231,2.1923076923076925,2.8461538461538463,19.144371466456537,9.967273905143932,2.4134657830458113,-2.1857761603754224,2.311866076150293,-2.3446071048156067,6.012572380437826,-0.12349167369383923,2.9142071180490903,1.8858392570920066,857.6902466201308,18.844570503761737,14.491186946254741,14.491186946254741,12.45592745803129,8.296448022592314,8.296448022592314,6.153935079054728,6.153935079054728,4.655268352373198,4.655268352373198,3.24412897008915,3.24412897008915,-2.9,802429.844161935,17.908082411390296,7.148408541059714,3.1405023559447547,149.21678645086723,20.524181988768614,12.356393797796823,6.1716753955102925,5.879988336435371,11.814359458703011,0.0,9.589074368143644,9.374393568622029,0.0,0.0,6.923737199690624,30.006147042775634,17.500973832239264,18.71508986212249,23.45321532341856,22.586807887632602,0.0,10.30076712495354,11.651573523323577,25.558075047274887,13.716679505790452,29.9593962686949,11.629500169719275,20.524181988768614,4.39041504767482,11.629500169719275,0.0,42.72853371009892,4.794537184071822,5.917906046161393,23.70254749838545,24.395944776997904,0.0,10.772448428929591,103.54000000000002,29.945781729522654,13.979489415818463,0.0,12.170333456209914,28.822770221574878,0.0,13.30664111289061,18.19910120538483,6.923737199690624,10.30076712495354,15.207393384762284,24.873114441640396,0.0,27.31028162018044,3.949358538921129,5.6317294648539455,-1.0235597124269558,4.526644935752078,0.5386015986845709,1.9241876514456715,1.4363081276153968,0.3888888888888889,26,3,7,0,1,1,1,1,2,5,2,8,6,0,1,1,3,1.5837999999999999,92.91560000000004,0,0,0,0,0,1,0,0,0,0,2,2,0,1,1,1,0,0,0,0,0,1,0,2,0,0,0,1,1,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
CC(C)(O)[C@H](F)CN1Cc2cc(NC(=O)c3cnn4cccnc34)c(N3CCC(N4CC(F)(F)C4)CC3)cc2C1=O,9.96,14.674358843124661,14.674358843124661,0.045043705238718035,-2.6273486093075182,0.44933981061917055,20.29268292682927,571.6040000000003,539.3480000000004,571.2518725440001,218,0.2724679660385621,-0.3873664620257953,0.3873664620257953,0.2724679660385621,1.2439024390243902,1.975609756097561,2.658536585365854,19.285628828148226,9.966869055861812,2.4674144828419626,-2.467741267472994,2.3805464130401206,-2.6122129802867344,6.10111996025427,-0.14774564973428994,3.4712208416885146,1.2745525994633886,1488.80743681634,29.10371904882607,22.8565415714645,22.8565415714645,19.39279853262749,13.686749314955602,13.686749314955602,11.712772101565179,11.712772101565179,8.210110278915986,8.210110278915986,5.791945854510201,5.791945854510201,-3.7099999999999995,1361969806.2064927,27.45939405598419,9.98134870724221,5.234107431192197,234.2792349761096,20.223135460547994,11.735126887207288,5.647177220767728,0.0,17.736888626797587,0.0,14.48898409899412,22.67062155758729,5.098681808301038,0.0,0.0,50.45167034231509,43.63324868180884,42.806936149701606,27.86684690600881,28.836309228837862,0.0,24.397877684564826,0.0,56.970970254882346,42.940480364419685,53.479986395315045,0.0,10.216698334856808,24.546017692391587,0.0,0.0,97.77964277140795,6.544756405912575,0.0,52.9685464884679,36.78963192022406,0.0,5.647177220767728,106.31,23.602435103940063,27.86684690600881,0.0,43.69149767384676,54.08000881120601,0.0,29.459625595460423,35.49269807946146,4.899909730850478,15.399448933254575,0.0,43.04393116260623,0.0,36.1446073949892,17.21140511930046,1.2060431091933033,-3.4049596704011735,5.201720833372108,4.363438151347118,3.23381389959276,0.0,0.5,41,2,10,0,3,3,1,2,3,8,2,13,7,0,2,2,6,2.9661000000000017,145.07149999999982,0,1,0,0,0,3,0,0,0,0,2,2,0,6,1,0,0,1,0,0,0,3,0,2,0,2,0,1,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CC(C)(O)CCN1Cc2cc(NC(=O)c3cnn4cccnc34)c(N3CCOCC3)cc2C1=O,9.8,13.213102671739037,13.213102671739037,0.056977239714883554,-0.8516385118740057,0.573288116053706,16.264705882352942,464.52600000000035,436.3020000000003,464.217203376,178,0.2607072742672432,-0.39040148268965663,0.39040148268965663,0.2607072742672432,1.2647058823529411,2.0588235294117645,2.823529411764706,16.47756653670868,10.056528553345515,2.31236707797192,-2.3060383518335654,2.3527218744529033,-2.3662960996412505,6.100950912779749,0.051666549045205803,3.38165498103668,1.4663404873118717,1241.9792980636905,23.87166824125719,19.321875527834926,19.321875527834926,16.29864495259714,11.410289402539497,11.410289402539497,9.315303892850741,9.315303892850741,6.217777862417163,6.217777862417163,4.342960396311882,4.342960396311882,-3.4999999999999996,66957336.74256308,22.300042007981517,8.693469387755101,4.3364267390976305,196.68240302257718,24.959998414348043,5.563451491696996,5.647177220767728,0.0,11.814359458703011,0.0,9.589074368143644,9.499376414562832,5.098681808301038,0.0,0.0,44.030848719389084,44.136164258573444,36.38643086098973,19.4324647167844,28.836309228837862,0.0,19.497967953714348,0.0,32.41410323920352,43.06473148162037,53.479986395315045,0.0,10.216698334856808,11.374772549367124,0.0,0.0,74.8679387650053,11.281619359712625,0.0,46.54772486554189,36.78963192022406,0.0,5.647177220767728,112.30000000000001,5.601050810983688,14.69560176298435,0.0,11.814359458703011,68.27507765444741,11.250837766380558,6.196843571613076,41.72283623553511,12.13273413692322,20.299358664105053,4.736862953800049,7.051978318053528,0.0,34.465982204204295,17.328270685959247,2.906214301232617,-0.3705243480031537,5.509500744360329,5.340740005386054,6.8511714221404185,0.0,0.4166666666666667,34,2,10,0,2,2,1,2,3,8,2,10,6,0,1,1,5,1.935,126.06950000000006,0,1,0,0,0,3,0,0,0,0,2,2,0,5,1,0,0,0,0,0,0,0,0,2,0,2,0,1,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
