pIC50,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,BCUT2D_LOGPLOW,Chi0,Chi0n,Chi0v,Chi1,Chi2n,Kappa1,Kappa3,LabuteASA,SMR_VSA3,SMR_VSA5,SlogP_VSA5,HeavyAtomCount,NOCount,NumAromaticCarbocycles,NumAromaticHeterocycles,NumHeteroatoms,NumRotatableBonds,fr_NH0,fr_benzene,fr_pyridine
10.59,535.6240000000005,501.3520000000004,535.270716168,206,-2.50092588424232,27.31082583001261,22.30771940663259,22.30771940663259,18.68569175144095,11.341360266388149,25.694354699471408,4.84732226639941,225.94816417025712,24.397877684564826,57.46926270971379,59.38936811139392,39,10,1,2,11,7,6,1,0
10.11,537.5960000000005,505.3400000000004,537.249980724,206,-2.5631245560650173,27.31082583001261,22.008860915909903,22.008860915909903,18.68569175144095,10.947914085170511,25.65648802548512,4.834227937115878,224.6967672853674,24.397877684564826,38.20679784093576,40.126903242615874,39,11,1,2,12,7,6,1,0
10.09,545.5660000000003,515.3260000000004,545.2362224800002,208,-2.4762529177201644,27.89661226763952,21.649434790277954,21.649434790277954,18.507058956486865,10.412357819813645,26.879585724362588,5.546010140473315,222.5551819008456,24.397877684564826,38.59040175664699,40.126903242615874,39,10,1,2,13,8,6,1,0
10.0,571.6040000000003,539.3480000000004,571.2518725440001,218,-2.567950708918021,29.10371904882607,22.8565415714645,22.8565415714645,19.39279853262749,11.674655952322537,27.45939405598419,5.234107431192197,234.2792349761096,24.397877684564826,56.970970254882346,52.9685464884679,41,10,1,2,13,7,6,1,0
10.0,473.53700000000015,446.32100000000025,473.21753772400007,180,-2.455374906019953,24.15612529163336,19.76946928502763,19.76946928502763,16.970295456812927,9.519912853349336,21.574464211172263,3.5119881086464653,201.4172335888738,29.278452697160567,50.10569581908737,54.92475924247284,35,10,1,3,10,4,6,1,0
10.0,361.3730000000001,341.2130000000001,361.14378434,138,-2.3446071048156067,18.844570503761737,14.49118694625474,14.49118694625474,12.45592745803129,6.153935079054728,17.908082411390296,3.1405023559447547,149.21678645086723,10.30076712495354,25.558075047274887,23.70254749838545,26,7,1,1,8,6,1,1,1
9.96,571.6040000000003,539.3480000000004,571.2518725440001,218,-2.6122129802867344,29.10371904882607,22.8565415714645,22.8565415714645,19.39279853262749,11.71277210156518,27.45939405598419,5.234107431192197,234.2792349761096,24.397877684564826,56.970970254882346,52.9685464884679,41,10,1,2,13,7,6,1,0
9.8,464.5260000000004,436.3020000000003,464.217203376,178,-2.3662960996412505,23.87166824125719,19.321875527834926,19.321875527834926,16.29864495259714,9.31530389285074,22.30004200798152,4.336426739097631,196.6824030225772,19.497967953714348,32.41410323920352,46.54772486554189,34,10,1,2,10,6,5,1,0
9.72,482.5160000000004,455.3000000000004,482.207781564,184,-2.419217114886505,24.74191172926027,19.57008348884723,19.57008348884723,16.719365256252168,9.333036771116078,23.184940253005514,4.439761427658119,200.84793842550343,19.497967953714348,32.1649570117878,40.126903242615874,35,10,1,2,11,6,5,1,0
9.7,473.53700000000015,446.32100000000025,473.21753772400007,180,-2.308801920513843,24.15612529163336,19.76946928502763,19.76946928502763,16.943422003275256,9.769393235029424,21.574464211172263,3.689670084398376,201.4172335888738,29.278452697160567,38.14594894377801,48.503937619546825,35,10,1,3,10,4,6,1,0
9.7,404.4250000000001,382.249,404.18846376400006,154,-2.422930901574344,20.543241116511005,15.847474492245308,15.847474492245308,13.918723993369944,7.194849484795636,19.245734749746045,3.902295545770887,164.8324965541973,24.378542966310093,44.19241289485915,48.16064790718051,29,9,0,3,11,5,5,0,0
9.7,421.4770000000002,400.3090000000001,421.1496357320001,154,-2.4229271068556995,20.543241116511005,15.731158918019586,16.54765549894731,13.918723993369944,7.114026336757132,19.647566740966568,4.055790040274353,169.06791039272684,19.74844178534064,44.19241289485915,48.16064790718051,29,8,0,3,11,5,4,0,0
9.7,404.4250000000001,382.249,404.18846376400006,154,-2.3081604988396487,20.380104409694475,15.899880735052603,15.899880735052603,14.008040390846984,7.03687423767641,19.245734749746045,4.186421374495755,165.04246804079258,29.695331570316423,31.729750442785186,41.7398262842545,29,9,0,3,11,5,5,0,0
9.7,361.37300000000016,341.2130000000001,361.14378434,138,-2.344607104815609,18.844570503761737,14.49118694625474,14.49118694625474,12.455927458031292,6.153935079054728,17.908082411390296,3.1405023559447547,149.2167864508672,10.30076712495354,25.558075047274887,23.70254749838545,26,7,1,1,8,6,1,1,1
9.7,360.38500000000016,339.2170000000001,360.148535372,138,-2.343334277311861,18.844570503761737,14.621323619944407,14.621323619944407,12.455927458031292,6.293979397780351,17.975914300042195,3.1643971230722,149.9971384699207,5.316788604006331,25.558075047274887,23.70254749838545,26,6,2,0,7,6,0,2,0
9.7,461.5260000000001,434.3100000000002,461.21753772400007,176,-2.380460066969998,23.819261998449893,19.43260599184416,19.43260599184416,16.439892043425118,8.703912610450493,21.8727060921466,3.953661049631565,196.05812262800643,29.278452697160567,44.69070534969059,49.00685319631145,34,10,1,3,10,5,6,1,0
9.7,491.55200000000025,462.3200000000003,491.2281024080001,188,-2.433596903278051,25.39661226763952,20.457169856533746,20.457169856533746,17.350575645948073,9.199105711755474,23.737936506883788,4.371394363647474,207.21729849459905,29.278452697160567,50.79467173743889,49.00685319631145,36,11,1,3,11,6,6,1,0
9.62,445.7890000000001,430.6690000000001,445.08769968000007,160,-2.212411903883163,21.181433796945203,15.22694935920727,16.043445940134994,13.62001215764306,5.819811928264204,22.67674557501805,5.47008646979278,172.6235195121832,19.74844178534064,6.176298517443475,20.976930357840565,30,10,0,3,14,6,4,0,1
9.52,397.4430000000002,374.25900000000007,397.1974709760001,152,-2.422932406731378,20.543241116511005,15.999793836690715,15.999793836690715,13.918723993369944,7.221770141490544,18.87306205617493,3.762107348431395,166.0028385454013,24.378542966310093,37.76696814999996,46.52974034639314,29,11,0,3,11,5,5,0,0
9.52,532.6050000000002,500.3490000000004,532.2546515040001,204,-2.462628737088289,27.095282880388783,22.025703795593344,22.025703795593344,18.906218538613896,10.355982948597692,25.107877995081008,4.756400132767279,224.7011852400664,34.17836242801105,50.29175616067428,48.503937619546825,39,12,1,3,12,5,7,1,0
9.52,347.3460000000001,329.20200000000006,347.128134276,132,-2.3370641320123693,18.13746372257519,13.784080165068191,13.784080165068191,11.917922655570504,5.9409489344665,16.940378092663696,3.0667172640746454,142.8518443364706,10.30076712495354,19.13725342434888,17.28172587545944,25,7,1,1,8,5,1,1,1
