pIC50,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,BCUT2D_LOGPLOW,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi2n,Chi2v,HallKierAlpha,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA3,PEOE_VSA4,PEOE_VSA6,PEOE_VSA9,SMR_VSA3,SMR_VSA5,SlogP_VSA5,TPSA,EState_VSA1,VSA_EState1,HeavyAtomCount,NOCount,NumAromaticCarbocycles,NumAromaticHeterocycles,NumHAcceptors,NumHeteroatoms,NumRotatableBonds,MolMR,fr_NH0,fr_benzene,fr_pyridine
10.59,535.6240000000005,501.3520000000004,535.270716168,206,-2.50092588424232,1405.892792859292,27.31082583001261,22.30771940663259,22.30771940663259,18.68569175144095,13.601678060759829,11.341360266388149,11.341360266388149,-3.57,25.694354699471408,9.872408244310352,4.84732226639941,225.94816417025712,13.88979146223765,5.098681808301038,0.0,29.71742333787646,24.397877684564826,57.46926270971379,59.38936811139392,106.31,11.77272620649398,16.220521833483524,39,10,1,2,8,11,7,144.74149999999983,6,1,0
10.11,537.5960000000005,505.3400000000004,537.249980724,206,-2.5631245560650173,1408.871655620655,27.31082583001261,22.008860915909903,22.008860915909903,18.68569175144095,13.179028329949452,10.947914085170511,10.947914085170511,-3.61,25.65648802548512,9.849973059557092,4.834227937115878,224.6967672853674,13.88979146223765,5.098681808301038,0.0,48.97302809605025,24.397877684564826,38.20679784093576,40.126903242615874,115.54,11.77272620649398,21.54960353498288,39,11,1,2,9,12,7,141.70949999999988,6,1,0
10.09,545.5660000000003,515.3260000000004,545.2362224800002,208,-2.4762529177201644,1382.8636609341129,27.89661226763952,21.649434790277954,21.649434790277954,18.507058956486865,12.687894427037625,10.412357819813645,10.412357819813645,-3.71,26.879585724362588,10.454529867678586,5.546010140473315,222.5551819008456,22.67062155758729,5.098681808301038,0.0,36.26217974378904,24.397877684564826,38.59040175664699,40.126903242615874,106.31,24.10535068070468,41.86436200144221,39,10,1,2,8,13,8,137.97349999999992,6,1,0
10.0,571.6040000000003,539.3480000000004,571.2518725440001,218,-2.567950708918021,1488.80743681634,29.10371904882607,22.8565415714645,22.8565415714645,19.39279853262749,13.686749314955602,11.674655952322537,11.674655952322537,-3.71,27.45939405598419,9.98134870724221,5.234107431192197,234.2792349761096,22.67062155758729,5.098681808301038,0.0,29.71742333787646,24.397877684564826,56.970970254882346,52.9685464884679,106.31,23.602435103940063,43.07236629390849,41,10,1,2,8,13,7,145.07149999999982,6,1,0
10.0,473.53700000000015,446.32100000000025,473.21753772400007,180,-2.455374906019953,1448.073884519127,24.15612529163336,19.76946928502763,19.76946928502763,16.970295456812927,11.910373419279312,9.519912853349336,9.519912853349336,-3.95,21.574464211172263,8.07208108759781,3.5119881086464653,201.4172335888738,4.9839785209472085,14.712761510217698,0.0,30.428634151351822,29.278452697160567,50.10569581908737,54.92475924247284,106.65,0.0,9.128792869674957,35,10,1,3,8,10,4,129.4652,6,1,0
10.0,361.3730000000001,341.2130000000001,361.14378434,138,-2.3446071048156067,857.6902466201308,18.844570503761737,14.49118694625474,14.49118694625474,12.45592745803129,8.296448022592314,6.153935079054728,6.153935079054728,-2.9,17.908082411390296,7.148408541059714,3.1405023559447547,149.21678645086723,9.374393568622027,0.0,6.923737199690624,18.71508986212249,10.30076712495354,25.558075047274887,23.70254749838545,103.54000000000002,29.94578172952265,24.8731144416404,26,7,1,1,5,8,6,92.91560000000004,1,1,1
9.96,571.6040000000003,539.3480000000004,571.2518725440001,218,-2.6122129802867344,1488.80743681634,29.10371904882607,22.8565415714645,22.8565415714645,19.39279853262749,13.686749314955602,11.71277210156518,11.71277210156518,-3.71,27.45939405598419,9.98134870724221,5.234107431192197,234.2792349761096,22.67062155758729,5.098681808301038,0.0,42.806936149701606,24.397877684564826,56.970970254882346,52.9685464884679,106.31,23.602435103940063,43.04393116260623,41,10,1,2,8,13,7,145.07149999999982,6,1,0
9.8,464.5260000000004,436.3020000000003,464.217203376,178,-2.3662960996412505,1241.9792980636903,23.87166824125719,19.321875527834926,19.321875527834926,16.29864495259714,11.410289402539496,9.31530389285074,9.31530389285074,-3.5,22.30004200798152,8.693469387755101,4.336426739097631,196.6824030225772,9.499376414562832,5.098681808301038,0.0,36.38643086098973,19.497967953714348,32.41410323920352,46.54772486554189,112.3,5.601050810983688,7.051978318053528,34,10,1,2,8,10,6,126.06950000000006,5,1,0
9.72,482.5160000000004,455.3000000000004,482.207781564,184,-2.419217114886505,1280.7452457455408,24.74191172926027,19.57008348884723,19.57008348884723,16.719365256252168,11.471877327240891,9.333036771116078,9.333036771116078,-3.57,23.184940253005514,8.896226014639923,4.439761427658119,200.84793842550343,13.88979146223765,5.098681808301038,0.0,42.93118726690229,19.497967953714348,32.1649570117878,40.126903242615874,112.3,11.77272620649398,21.51524323498561,35,10,1,2,8,11,6,126.34850000000004,5,1,0
9.7,473.53700000000015,446.32100000000025,473.21753772400007,180,-2.308801920513843,1448.073884519127,24.15612529163336,19.76946928502763,19.76946928502763,16.943422003275256,11.856547778139443,9.769393235029424,9.769393235029424,-3.95,21.574464211172263,8.07208108759781,3.689670084398376,201.4172335888738,4.9839785209472085,14.712761510217698,0.0,30.428634151351822,29.278452697160567,38.14594894377801,48.503937619546825,106.65,0.0,9.131925557278173,35,10,1,3,8,10,4,129.4172,6,1,0
9.7,404.4250000000001,382.249,404.18846376400006,154,-2.422930901574344,1030.2148499798934,20.543241116511005,15.847474492245308,15.847474492245308,13.918723993369944,9.416669635347064,7.194849484795636,7.194849484795636,-3.08,19.245734749746045,7.740178246183325,3.902295545770887,164.8324965541973,18.28020650991247,10.197363616602075,12.84164324585202,11.884229846296638,24.378542966310093,44.19241289485915,48.16064790718051,115.16,18.02655246905916,28.918413378266305,29,9,0,3,8,11,5,102.95930000000004,5,0,0
9.7,421.4770000000002,400.3090000000001,421.1496357320001,154,-2.4229271068556995,1034.5633655254903,20.543241116511005,15.731158918019586,16.54765549894731,13.918723993369944,9.314963817894016,7.114026336757132,7.972129188615151,-2.66,19.647566740966568,7.9922662694965725,4.055790040274353,169.06791039272684,18.748787137244054,5.098681808301038,12.84164324585202,17.447681337993636,19.74844178534064,44.19241289485915,48.16064790718051,110.75,18.02655246905916,27.49003492966464,29,8,0,3,8,11,5,107.38730000000004,4,0,0
9.7,404.4250000000001,382.249,404.18846376400006,154,-2.3081604988396487,1006.627599579811,20.380104409694475,15.899880735052603,15.899880735052603,14.008040390846984,9.457109749866945,7.03687423767641,7.03687423767641,-3.08,19.245734749746045,8.113866179127092,4.186421374495755,165.04246804079258,18.28020650991247,10.197363616602075,6.4208216229260096,11.884229846296638,29.695331570316423,31.729750442785186,41.7398262842545,101.17,18.02655246905916,28.94890561301907,29,9,0,3,8,11,5,103.23660000000004,5,0,0
9.7,361.37300000000016,341.2130000000001,361.14378434,138,-2.344607104815609,857.6902466201307,18.844570503761737,14.49118694625474,14.49118694625474,12.455927458031292,8.296448022592312,6.153935079054728,6.153935079054728,-2.9,17.908082411390296,7.148408541059714,3.1405023559447547,149.2167864508672,9.374393568622027,0.0,6.923737199690624,18.71508986212249,10.30076712495354,25.558075047274887,23.70254749838545,103.54,29.945781729522658,24.8731144416404,26,7,1,1,5,8,6,92.91560000000004,1,1,1
9.7,360.38500000000016,339.2170000000001,360.148535372,138,-2.343334277311861,854.7931613928276,18.844570503761737,14.621323619944407,14.621323619944407,12.455927458031292,8.43665080302332,6.293979397780351,6.293979397780351,-2.83,17.975914300042195,7.191546401445446,3.1643971230722,149.9971384699207,4.39041504767482,0.0,19.056471336613843,18.71508986212249,5.316788604006331,25.558075047274887,23.70254749838545,90.65,23.903940900374696,25.02762833052928,26,6,2,0,4,7,6,95.12060000000004,0,2,0
9.7,461.5260000000001,434.3100000000002,461.21753772400007,176,-2.380460066969998,1367.672441990086,23.819261998449893,19.43260599184416,19.43260599184416,16.439892043425118,11.347248529831123,8.703912610450493,8.703912610450493,-3.95,21.8727060921466,8.770419668834977,3.953661049631565,196.05812262800643,4.9839785209472085,14.712761510217698,0.0,30.428634151351822,29.278452697160567,44.69070534969059,49.00685319631145,106.65,0.0,9.073724818345664,34,10,1,3,8,10,5,126.96220000000004,6,1,0
9.7,491.55200000000025,462.3200000000003,491.2281024080001,188,-2.433596903278051,1418.5777299720232,25.39661226763952,20.457169856533746,20.457169856533746,17.350575645948073,11.971472823362726,9.199105711755474,9.199105711755474,-3.99,23.737936506883788,9.57382318744007,4.371394363647474,207.21729849459905,4.9839785209472085,14.712761510217698,0.0,30.428634151351822,29.278452697160567,50.79467173743889,49.00685319631145,126.88,6.103966387748303,9.022364837539005,36,11,1,3,9,11,6,132.969,6,1,0
9.62,445.7890000000001,430.6690000000001,445.08769968000007,160,-2.212411903883163,1064.5337228606354,21.181433796945203,15.22694935920727,16.043445940134994,13.62001215764306,7.995550893688107,5.819811928264204,5.819811928264204,-3.61,22.67674557501805,8.816484507528639,5.47008646979278,172.6235195121832,9.967957041894415,18.26992695132549,0.0,5.687386274683562,19.74844178534064,6.176298517443475,20.976930357840565,140.95999999999998,24.53541438205906,43.47845517726154,30,10,0,3,8,14,6,101.20580000000002,4,0,1
9.52,397.4430000000002,374.25900000000007,397.1974709760001,152,-2.422932406731378,1070.6564053930244,20.543241116511005,15.999793836690715,15.999793836690715,13.918723993369944,9.434358000107007,7.221770141490544,7.221770141490544,-3.47,18.87306205617493,7.508455948357832,3.762107348431395,166.0028385454013,9.499376414562832,10.197363616602075,12.84164324585202,11.884229846296638,24.378542966310093,37.76696814999996,46.52974034639314,158.25,11.814359458703011,2.915301781261724,29,11,0,3,9,11,5,106.52020000000005,5,0,0
9.52,532.6050000000002,500.3490000000004,532.2546515040001,204,-2.462628737088289,1522.8002658583368,27.095282880388783,22.025703795593344,22.025703795593344,18.906218538613896,13.278006330289667,10.355982948597692,10.355982948597692,-4.19,25.107877995081008,10.174428559803475,4.756400132767279,224.7011852400664,9.77851570501903,14.712761510217698,0.0,36.53260053910013,34.17836242801105,50.29175616067428,48.503937619546825,130.12,6.103966387748303,9.089821067816583,39,12,1,3,9,12,5,143.8739999999999,7,1,0
9.52,347.3460000000001,329.20200000000006,347.128134276,132,-2.3370641320123693,841.9979208631503,18.13746372257519,13.784080165068191,13.784080165068191,11.917922655570504,7.758443220131528,5.9409489344665,5.9409489344665,-2.9,16.940378092663696,6.541241242777452,3.0667172640746454,142.8518443364706,9.374393568622027,0.0,6.923737199690624,18.71508986212249,10.30076712495354,19.13725342434888,17.28172587545944,103.54,29.945781729522658,24.522801080758853,25,7,1,1,5,8,5,88.29860000000004,1,1,1
9.52,405.91500000000025,385.75500000000005,405.11385694000006,142,-2.4229259966374657,984.981058019002,18.96589084732138,14.775844175820732,16.348269702766913,13.008040390846984,8.778835139331834,6.718899368191079,7.935015307499413,-2.23,18.14816046181083,7.414362576690104,3.755437667215856,164.67516369935944,9.967957041894415,5.098681808301038,24.442583136084536,17.447681337993636,19.74844178534064,37.76696814999996,36.04127516747286,110.75,0.0,1.5405884561168517,27,8,0,3,8,10,4,107.44030000000002,4,0,0
9.52,422.4150000000001,401.247,422.1790419520001,160,-2.4229322677477274,1073.246336909071,21.46589084732138,16.148088696064907,16.148088696064907,14.21936525625217,9.508505429794107,7.355278440422048,7.355278440422048,-3.1499999999999995,20.13616280733652,7.593371598391702,3.94616145627226,168.9980319571235,9.499376414562832,23.36860875962653,12.84164324585202,11.884229846296638,24.378542966310093,43.94326666744344,41.73520316232132,115.16,23.464792516327,41.79274888355872,30,9,0,3,8,12,4,103.00430000000004,5,0,0
9.49,515.0390000000002,487.8230000000002,514.155387404,184,-2.3535895985436786,1282.6158997806422,23.8192619984499,19.212058272886413,20.845051434741865,16.406218538613903,11.09846625812213,8.61658855240221,9.647237434328574,-2.89,25.210338027021884,10.386742756758624,5.213424213915028,212.2954358955549,9.967957041894415,4.9839785209472085,12.13273413692322,27.92587934267862,19.935914083788838,38.51806962695183,17.808677612622933,136.31,24.16767965080596,1.046347559200193,35,9,1,3,10,11,6,139.5048,4,1,1
9.49,478.55300000000034,448.31300000000033,478.23285344,184,-2.3664014019876274,1264.0755673911626,24.57877502244374,20.282910222798836,20.282910222798836,16.85930512437696,11.799055040485312,9.466686417335564,9.466686417335564,-3.5,23.25163658004364,9.273342650013102,4.585797584339859,203.3666566142847,9.499376414562832,5.098681808301038,0.0,36.38643086098973,19.497967953714348,32.41410323920352,46.54772486554189,101.3,0.0,12.608345014367057,35,10,1,2,8,10,7,130.85970000000003,5,1,0
9.44,508.8480000000002,492.72000000000025,508.098598712,182,-2.2124122396116728,1340.8958524136071,24.294317972067564,17.483564031465733,18.300060612393462,16.192491802714493,9.53235881128874,6.8019366380745465,6.8019366380745465,-4.46,25.16836000814467,10.212189957470969,6.112987807453434,200.53531958479712,14.6497599770396,18.26992695132549,0.0,23.768459692593275,24.73242030628785,6.176298517443475,20.976930357840565,153.85000000000002,24.53541438205906,43.840536400964005,35,11,0,4,9,15,7,119.35679999999998,5,0,2
9.42,392.41900000000027,372.2590000000002,392.1596885,148,-2.365877160496333,1118.602068682247,19.9574546788841,15.960448369961876,15.960448369961876,14.11419354072963,9.464115043679364,7.187376718414262,7.187376718414262,-3.4599999999999995,17.625807706429757,6.854677865579574,2.993122279680596,166.4284008127947,9.499376414562832,5.098681808301038,0.0,30.78538005000604,19.497967953714348,6.544756405912575,26.27942884323463,92.07,0.0,7.020231652367675,29,9,1,2,7,9,3,106.21170000000004,5,1,0
9.4,407.45000000000016,388.29800000000006,407.1339856680001,148,-2.381507106698664,996.7207035218196,19.67299762850793,15.076458379640334,15.89295496056806,13.508040390846984,8.8554039324139,6.6024976990446325,7.460600550902651,-2.66,18.69166834421624,7.758563745863359,3.803547810172788,162.91293976492557,18.748787137244054,5.098681808301038,0.0,17.447681337993636,25.06523038934697,25.30892881985917,35.31900466132849,96.76,18.02655246905916,27.441801887269516,28,8,0,3,8,11,5,103.04760000000005,4,0,0
