pIC50,NumValenceElectrons,Chi0,Chi0n,Chi2n,Kappa1,fr_pyridine
10.59,206,27.31082583001261,22.30771940663259,11.341360266388149,25.694354699471408,0
10.11,206,27.31082583001261,22.008860915909903,10.947914085170511,25.65648802548512,0
10.09,208,27.89661226763952,21.649434790277954,10.412357819813645,26.879585724362588,0
10.0,218,29.10371904882607,22.8565415714645,11.674655952322537,27.45939405598419,0
10.0,180,24.15612529163336,19.76946928502763,9.519912853349336,21.574464211172263,0
10.0,138,18.844570503761737,14.49118694625474,6.153935079054728,17.908082411390296,1
9.96,218,29.10371904882607,22.8565415714645,11.71277210156518,27.45939405598419,0
9.8,178,23.87166824125719,19.321875527834926,9.31530389285074,22.30004200798152,0
9.72,184,24.74191172926027,19.57008348884723,9.333036771116078,23.184940253005514,0
9.7,180,24.15612529163336,19.76946928502763,9.769393235029424,21.574464211172263,0
9.7,154,20.543241116511005,15.847474492245308,7.194849484795636,19.245734749746045,0
9.7,154,20.543241116511005,15.731158918019586,7.114026336757132,19.647566740966568,0
9.7,154,20.380104409694475,15.899880735052603,7.03687423767641,19.245734749746045,0
9.7,138,18.844570503761737,14.49118694625474,6.153935079054728,17.908082411390296,1
9.7,138,18.844570503761737,14.621323619944407,6.293979397780351,17.975914300042195,0
9.7,176,23.819261998449893,19.43260599184416,8.703912610450493,21.8727060921466,0
9.7,188,25.39661226763952,20.457169856533746,9.199105711755474,23.737936506883788,0
9.62,160,21.181433796945203,15.22694935920727,5.819811928264204,22.67674557501805,1
9.52,152,20.543241116511005,15.999793836690715,7.221770141490544,18.87306205617493,0
9.52,204,27.095282880388783,22.025703795593344,10.355982948597692,25.107877995081008,0
9.52,132,18.13746372257519,13.784080165068191,5.9409489344665,16.940378092663696,1
9.52,142,18.96589084732138,14.775844175820732,6.718899368191079,18.14816046181083,0
9.52,160,21.46589084732138,16.148088696064907,7.355278440422048,20.13616280733652,0
9.49,184,23.8192619984499,19.212058272886413,8.61658855240221,25.210338027021884,1
9.49,184,24.57877502244374,20.282910222798836,9.466686417335564,23.25163658004364,0
9.44,182,24.294317972067564,17.483564031465733,6.8019366380745465,25.16836000814467,2
9.42,148,19.9574546788841,15.960448369961876,7.187376718414262,17.625807706429757,0
9.4,148,19.67299762850793,15.076458379640334,6.6024976990446325,18.69166834421624,0
9.4,144,19.672997628507925,15.345093298311465,6.8884996222159,18.338747786234524,0
9.33,182,23.777445635193004,19.4815808355481,9.267585129910753,21.995027209607805,0
9.3,160,21.62902755413791,15.766159983387546,7.169343151489706,20.069059099616123,0
9.3,132,17.974327015758657,14.242978985242436,6.111446064796071,17.00803372505024,1
9.3,154,20.543241116511005,15.84747449224531,7.192695267105481,19.245734749746045,0
9.3,160,21.62902755413791,15.766159983387546,7.127141304371917,20.069059099616123,0
9.26,166,22.974327015758654,17.656524864502185,8.071023232589022,22.69956028426085,1
9.22,164,21.750347897697548,17.969129857543333,9.041798449765398,19.924167650272864,1
9.22,164,21.750347897697548,18.591165384534104,9.415368495694352,19.99015746753688,1
9.22,174,23.12274509681375,19.347399895099816,9.464183539195046,20.91234355948472,1
9.22,190,25.36323207281991,21.162415539265933,11.355350288223237,22.466164221643936,1
9.22,136,18.63746372257519,14.284080165068191,6.727451151144154,16.562104196943675,1
9.15,194,26.62059138570063,18.989149141682223,8.022527557251507,26.395720568723437,0
9.15,144,19.672997628507925,15.591545546226854,7.103936609446417,18.00530517350135,0
9.15,154,20.380104409694475,15.899880735052603,7.034720019986255,19.245734749746045,0
9.13,180,24.52636877963645,19.550262230337932,9.019038690907418,23.09920614651622,2
9.1,186,24.741911729260263,20.783490563681397,10.20302597048012,23.28022451622961,1
9.1,148,19.794317972067567,16.46178903422993,7.271935145915944,17.691146996967557,2
9.1,154,20.595647359318303,15.377072583459936,6.762926654671046,19.580560152411564,0
9.1,144,19.672997628507925,15.461408872537186,6.9693227702544025,17.93866472771829,0
9.05,192,26.95745467888409,19.9145753335679,8.713873316924591,25.66631049711502,2
9.05,148,19.67299762850793,15.322910627555723,6.817934686275151,18.357813569920665,0
9.0,142,18.96589084732138,14.892159750046456,6.797568298539428,17.748353659147956,0
9.0,166,22.880104409694468,17.670651528513396,8.232399232519686,21.673331252322185,2
9.0,148,19.67299762850793,15.192773953866055,6.681166629392981,18.291088907316038,0
9.0,174,23.12274509681375,19.347399895099816,9.468149616326071,20.91234355948472,1
9.0,200,27.32769816688718,19.69625592286877,8.204551975593548,27.37874992657047,0
9.0,142,18.96589084732138,15.022296423736124,6.934336355421596,17.814947226624657,0
9.0,154,20.595647359318303,15.623524831375324,6.978363641901563,19.245734749746045,0
9.0,144,19.672997628507925,15.461408872537188,6.967168552564248,17.93866472771829,0
9.0,112,14.940946820939052,11.959727756585751,5.461085730485002,13.54587655818156,2
9.0,146,19.672997628507925,15.176616800422629,6.920306061844848,18.51992381198347,0
9.0,178,24.45745467888409,18.92482476143493,9.105276118058558,23.57391185789479,2
9.0,164,21.750347897697548,17.969129857543333,9.041798449765398,19.924167650272864,1
9.0,178,24.29431797206756,19.08486509088649,8.884664458839842,23.60291546850596,2
9.0,118,15.6480536021256,12.6668345377723,5.795636719847884,14.480238222101054,2
9.0,162,21.380104409694468,18.220921896531024,10.141900481573266,18.799121412643565,1
9.0,154,20.543241116511005,15.977611165934976,7.32946332398765,19.312671839952426,0
9.0,176,23.28588180363028,19.192699356720563,9.542698754666048,20.78199896694214,1
9.0,166,22.551677284948283,16.066774187207145,7.329772107116118,20.961611566528028,0
9.0,174,24.551677284948283,19.140702732797145,9.296491758903164,23.87417829944421,2
9.0,182,24.36323207281991,20.23704959278333,9.4590517251761,23.05158504031005,0
