ID,IC50_nM
TEST_000,81.49388085124546
TEST_001,41.212914996467056
TEST_002,21.849927485854007
TEST_003,19.048027087872722
TEST_004,19.269332320044555
TEST_005,11.023004888111979
TEST_006,28.973435877013213
TEST_007,20.492738583802385
TEST_008,38.39723926353774
TEST_009,41.18445595389069
TEST_010,80.3248642016878
TEST_011,16.55642883305295
TEST_012,16.8319074040753
TEST_013,125.89254117941636
TEST_014,32.786873117455016
TEST_015,36.9856566231415
TEST_016,45.94447923743239
TEST_017,41.20658906576567
TEST_018,15.978401631170142
TEST_019,32.349432525429954
TEST_020,16.414714494569907
TEST_021,28.846956523813787
TEST_022,89.31340908532395
TEST_023,11.606465906018911
TEST_024,13.685689000165176
TEST_025,19.886117446059195
TEST_026,11.73005369153697
TEST_027,25.757280054252114
TEST_028,13.861173512382436
TEST_029,23.147281860152408
TEST_030,13.004689876116396
TEST_031,17.922558226960717
TEST_032,19.74694879409326
TEST_033,63.77003666189995
TEST_034,71.68033065160493
TEST_035,16.09409893262536
TEST_036,58.98614308878769
TEST_037,85.9211339452086
TEST_038,25.782003716212667
TEST_039,18.797495953155497
TEST_040,20.718898682319285
TEST_041,27.434686385240227
TEST_042,17.163268634905847
TEST_043,16.414714494569907
TEST_044,33.553152700702704
TEST_045,8.800351116873186
TEST_046,49.647799000606845
TEST_047,74.30191378966975
TEST_048,39.01216029526732
TEST_049,15.649483192248624
TEST_050,19.872385346227922
TEST_051,17.447505075443143
TEST_052,52.80803407777214
TEST_053,12.075357577096721
TEST_054,34.16121693828198
TEST_055,19.09853258566225
TEST_056,111.14757710604964
TEST_057,55.385999827735375
TEST_058,35.27226375370771
TEST_059,27.474723681354725
TEST_060,72.6245297532616
TEST_061,26.45858817890301
TEST_062,16.03245390690032
TEST_063,31.64462838835539
TEST_064,32.97615380159211
TEST_065,19.230917289101416
TEST_066,54.55693955526917
TEST_067,28.298711828123455
TEST_068,20.82252217850893
TEST_069,41.603831937328756
TEST_070,17.61029644056104
TEST_071,25.900014069479518
TEST_072,13.609745373271922
TEST_073,60.91159894613357
TEST_074,22.44398656178307
TEST_075,46.27005332361824
TEST_076,24.261445167326237
TEST_077,14.08315632366534
TEST_078,23.804003201344255
TEST_079,23.990170433160955
TEST_080,20.642707873554347
TEST_081,19.490964628031495
TEST_082,26.466712512733462
TEST_083,11.988090145458504
TEST_084,37.43403712011192
TEST_085,39.30670747367668
TEST_086,19.806147089717438
TEST_087,23.779351141013468
TEST_088,41.36185425726618
TEST_089,31.741930275311333
TEST_090,36.257679024119575
TEST_091,34.639105351905975
TEST_092,15.74254705149168
TEST_093,32.93315463354951
TEST_094,22.458202839202368
TEST_095,139.6207607461196
TEST_096,32.97615380159211
TEST_097,36.86379140973968
TEST_098,43.10225580049931
TEST_099,51.9876276814284
TEST_100,10.363346044310408
TEST_101,27.076966023304898
TEST_102,37.76591401452674
TEST_103,57.13470640013364
TEST_104,58.228195749926996
TEST_105,92.25360228471844
TEST_106,59.3927361753054
TEST_107,41.00309757248874
TEST_108,24.038092387463276
TEST_109,62.64455569099017
TEST_110,16.414714494569907
TEST_111,31.627631249882516
TEST_112,26.49110048516273
