ID,IC50_nM
TEST_000,70.07786035856377
TEST_001,25.05224594640927
TEST_002,17.64005764476404
TEST_003,16.91998602502997
TEST_004,20.539979225106183
TEST_005,12.597953470904953
TEST_006,31.952143648082085
TEST_007,17.984567574769258
TEST_008,35.014398218645645
TEST_009,38.40608157258059
TEST_010,64.19482215080346
TEST_011,15.58762682377159
TEST_012,16.338041693006698
TEST_013,120.36493897912133
TEST_014,24.21029046736175
TEST_015,23.23521346030357
TEST_016,22.506087344336088
TEST_017,42.29282220801169
TEST_018,13.30505477032977
TEST_019,45.104167014883
TEST_020,14.873619485754645
TEST_021,18.882811887241438
TEST_022,92.33152315576584
TEST_023,11.512421096674101
TEST_024,15.95205604030348
TEST_025,17.258378919901933
TEST_026,10.777052536943279
TEST_027,23.88067876503291
TEST_028,13.082778844452296
TEST_029,14.952024500170486
TEST_030,10.34189204433188
TEST_031,14.213466164728107
TEST_032,23.26483624518223
TEST_033,80.96674246670918
TEST_034,65.75064234749925
TEST_035,13.606611974350006
TEST_036,81.81947088810962
TEST_037,54.27502097963173
TEST_038,16.865530253887353
TEST_039,18.281002161427335
TEST_040,14.59206201380586
TEST_041,28.52988361520704
TEST_042,16.40967576449617
TEST_043,14.873619485754645
TEST_044,26.66244668312494
TEST_045,10.734125451859109
TEST_046,43.0130263382134
TEST_047,62.7335695984036
TEST_048,40.625619818683894
TEST_049,15.212479290080342
TEST_050,18.176070560954773
TEST_051,14.748572927641252
TEST_052,64.70432833101503
TEST_053,12.823305826560258
TEST_054,34.71362758876946
TEST_055,16.262975210134023
TEST_056,79.76272817384722
TEST_057,32.56616857843064
TEST_058,29.11722617777144
TEST_059,33.3833564775224
TEST_060,60.88355457613921
TEST_061,33.634243706884234
TEST_062,14.050765962943693
TEST_063,29.527725849883602
TEST_064,33.40386091036609
TEST_065,13.418377322533638
TEST_066,21.409178345704493
TEST_067,27.43342300033281
TEST_068,13.929696902234344
TEST_069,25.849173804844472
TEST_070,15.79186175095246
TEST_071,30.15955991038972
TEST_072,11.797772030511899
TEST_073,39.14713648482027
TEST_074,17.91430648406017
TEST_075,57.99848731346128
TEST_076,18.53531623414799
TEST_077,12.019876348698867
TEST_078,19.473768369921622
TEST_079,29.897164429771447
TEST_080,16.532302124756363
TEST_081,18.925614952970943
TEST_082,26.184643574958045
TEST_083,10.292005271944285
TEST_084,27.47873062316292
TEST_085,48.45478452867397
TEST_086,16.385762910800192
TEST_087,30.969200944434508
TEST_088,45.0505398927918
TEST_089,23.564053495092136
TEST_090,31.662606724359946
TEST_091,30.87071345937186
TEST_092,16.394568852635576
TEST_093,32.52595074500869
TEST_094,16.38985079542044
TEST_095,72.54374970183932
TEST_096,33.40386091036609
TEST_097,33.00122035589027
TEST_098,41.524078175699586
TEST_099,50.153356110666074
TEST_100,8.468373413222432
TEST_101,27.97692637854649
TEST_102,36.54475039945477
TEST_103,52.227591667877356
TEST_104,40.99208418770054
TEST_105,65.76578373554159
TEST_106,51.99959965335152
TEST_107,53.71142401251385
TEST_108,25.92387985291324
TEST_109,50.933087105719416
TEST_110,14.873619485754645
TEST_111,34.00165058040699
TEST_112,26.530778879189462
